School,Location,HS_Overall,Severity,HS1,HS2,HS3,HS4,HS5,HS6,HS7,HS8,HS9,HS10,HS_Indicator,Hazard,Recommendation,Priority,Cost,Timeframe,Expected_Score_Delta
Reservoir High School,Plenty Rd,6.1,Minor,4.2,5.7,5.0,6.0,5.0,6.0,8.0,6.8,5.2,9.0,HS1,Missing or broken footpath,Construct continuous concrete footpath minimum 1.8m wide,High,"Medium — $20,000–$200,000",Short-term — within 1 year,+3.0
Reservoir High School,Plenty Rd,6.1,Minor,4.2,5.7,5.0,6.0,5.0,6.0,8.0,6.8,5.2,9.0,HS1,Footpath below minimum width (1.5m),Widen footpath to minimum 1.5m — AS 1428.1,Medium,"Medium — $20,000–$200,000",Short-term — within 1 year,+1.5
Reservoir High School,Plenty Rd,6.1,Minor,4.2,5.7,5.0,6.0,5.0,6.0,8.0,6.8,5.2,9.0,HS2,Nearest crossing too far from school gate (>150m),Install additional pedestrian crossing within 50m of school gate,High,"Medium — $20,000–$200,000",Short-term — within 1 year,+2.0
Reservoir High School,Plenty Rd,6.1,Minor,4.2,5.7,5.0,6.0,5.0,6.0,8.0,6.8,5.2,9.0,HS2,No tactile ground surface indicators at crossing,Install tactile pavers on both sides of all crossings within 400m,Medium,"Low — under $20,000",Short-term — within 1 year,+1.0
Reservoir High School,Plenty Rd,6.1,Minor,4.2,5.7,5.0,6.0,5.0,6.0,8.0,6.8,5.2,9.0,HS6,No cycling infrastructure on school frontage road,Install painted bike lane or shared path along school frontage (LTS 2–3 minimum),Medium,"Medium — $20,000–$200,000",Medium-term — 1–3 years,+2.0
Reservoir High School,Plenty Rd,6.1,Minor,4.2,5.7,5.0,6.0,5.0,6.0,8.0,6.8,5.2,9.0,HS9,No traffic calming on multi-lane road near school gate,Install speed humps or raised intersection table near school gate,High,"Medium — $20,000–$200,000",Short-term — within 1 year,+2.0
William Ruthven Secondary College,Merrilands Road,6.7,Minor,9.5,6.8,3.0,3.3,10.0,4.2,7.5,4.3,8.0,10.0,HS1,Vegetation blocking footpath sightlines,Remove and regularly trim vegetation obstructing path and crossing visibility,Medium,"Low — under $20,000",Short-term — within 1 year,+0.5
William Ruthven Secondary College,Merrilands Road,6.7,Minor,9.5,6.8,3.0,3.3,10.0,4.2,7.5,4.3,8.0,10.0,HS2,Poor crossing visibility,Remove sightline obstructions; install raised platform and advance warning signs,Medium,"Medium — $20,000–$200,000",Short-term — within 1 year,+2.0
William Ruthven Secondary College,Merrilands Road,6.7,Minor,9.5,6.8,3.0,3.3,10.0,4.2,7.5,4.3,8.0,10.0,HS3,Low shade and shelter score (HS3 = 3.0/10),Plant street trees at 8m spacing along school frontage; install bus shelter with seating near gate,Medium,"Medium — $20,000–$200,000",Medium-term — 1–2 years,+3.0
William Ruthven Secondary College,Merrilands Road,6.7,Minor,9.5,6.8,3.0,3.3,10.0,4.2,7.5,4.3,8.0,10.0,HS4,Insufficient seating and rest places near school gate (HS4 = 3.3/10),Install minimum 3 benches within 200m of school gate; add bus shelter seating,Low,"Low — under $20,000",Short-term — within 1 year,+3.0
William Ruthven Secondary College,Merrilands Road,6.7,Minor,9.5,6.8,3.0,3.3,10.0,4.2,7.5,4.3,8.0,10.0,HS6,No cycling infrastructure on school frontage road,Install painted bike lane or shared path along school frontage (LTS 2–3 minimum),Medium,"Medium — $20,000–$200,000",Medium-term — 1–3 years,+2.0
William Ruthven Secondary College,Merrilands Road,6.7,Minor,9.5,6.8,3.0,3.3,10.0,4.2,7.5,4.3,8.0,10.0,HS6,Low active travel choice score (HS6 = 4.2/10),Upgrade cycling infrastructure to separated lanes (LTS 1); improve PT stop access within 400m,Medium,"High — over $200,000",Long-term — 3–5 years,+2.5
William Ruthven Secondary College,Merrilands Road,6.7,Minor,9.5,6.8,3.0,3.3,10.0,4.2,7.5,4.3,8.0,10.0,HS9,No school zone signage present,Install school zone signs with 40km/h speed restriction and flashing lights on all approaches,High,"Low — under $20,000",Short-term — within 1 year,+2.0
Preston High School,Cooma street,7.2,Major,9.1,0.4,5.0,8.0,7.0,7.8,8.0,10.0,7.6,9.0,HS2,No formal pedestrian crossing present,Install raised zebra crossing with tactile pavers adjacent to school gate,High,"Medium — $20,000–$200,000",Short-term — within 1 year,+4.0
Preston High School,Cooma street,7.2,Major,9.1,0.4,5.0,8.0,7.0,7.8,8.0,10.0,7.6,9.0,HS2,No tactile ground surface indicators at crossing,Install tactile pavers on both sides of all crossings within 400m,Medium,"Low — under $20,000",Short-term — within 1 year,+1.0
Preston High School,Cooma street,7.2,Major,9.1,0.4,5.0,8.0,7.0,7.8,8.0,10.0,7.6,9.0,HS2,Poor crossing visibility,Remove sightline obstructions; install raised platform and advance warning signs,Medium,"Medium — $20,000–$200,000",Short-term — within 1 year,+2.0
Preston High School,Cooma street,7.2,Major,9.1,0.4,5.0,8.0,7.0,7.8,8.0,10.0,7.6,9.0,HS9,No school zone signage present,Install school zone signs with 40km/h speed restriction and flashing lights on all approaches,High,"Low — under $20,000",Short-term — within 1 year,+2.0
